wp_code,Turnout (%)
01001,26.25
01002,22.89
01003,28.01
01004,27.42
01005,25.84
01006,25.58
01007,31.49
01008,31.36
01009,35.05
01010,21.77
01011,27.51
01012,31.04
01013,27.21
01014,31.41
01015,26.82
01016,28.23
01017,32.34
01018,28.39
01019,29.54
01020,26.78
01021,24.61
01022,26.90
01023,32.43
01024,21.68
01025,23.29
01026,22.09
01027,25.23
01028,27.33
01029,32.40
01030,24.35
01031,28.46
01032,31.55
01033,28.75
01034,30.26
01035,30.14
01036,29.16
01037,29.61
01038,27.67
01039,25.95
01040,30.51
01041,33.65
01042,30.24
01043,29.20
01044,30.10
02001,23.95
02002,37.98
02003,26.89
02004,23.86
02005,27.86
02006,21.99
02007,15.18
02008,21.68
02009,27.10
02010,45.73
02011,40.00
02012,38.25
02014,38.32
02015,30.04
02016,24.89
02017,37.50
02018,33.38
02019,47.59
02020,19.81
02021,31.64
02022,38.35
02023,50.37
02024,32.82
02025,29.24
02026,27.51
02027,32.39
02028,28.62
02029,24.22
02030,31.15
02031,42.16
02032,24.11
02033,42.95
02034,48.79
02035,22.07
02036,31.43
02037,40.95
02038,39.49
02039,28.36
02040,22.14
02041,20.96
02042,26.17
02043,28.83
02044,40.29
02045,29.98
02046,26.83
03001,31.48
03002,53.33
03003,35.64
03004,43.02
03005,24.71
03006,36.20
03007,46.18
03008,27.38
03009,36.62
03010,22.82
03011,34.97
03012,50.00
03013,42.97
03014,32.62
03015,31.11
03016,31.57
03017,27.76
03018,27.96
03019,37.38
03020,34.88
03021,38.72
03022,28.44
03023,26.68
03024,33.46
03025,34.60
03026,50.18
03027,31.96
03028,41.71
03029,27.94
03030,36.94
03031,39.73
03032,33.47
03033,29.53
03034,32.44
03035,14.67
03036,23.47
03037,29.50
03038,50.88
03039,28.32
03040,27.04
03041,21.24
04001,37.11
04002,37.34
04003,33.67
04004,41.58
04005,50.00
04006,46.03
04007,47.60
04008,45.06
04009,57.94
04010,43.42
04011,33.30
04012,36.17
04013,22.36
04014,42.44
04015,41.33
04016,27.67
04017,38.30
04018,46.12
04019,24.75
04020,41.84
04021,29.49
04022,46.53
04023,47.71
04024,40.60
04025,43.16
04026,39.76
04027,38.30
04028,42.82
04029,35.89
04030,30.20
04031,63.60
04032,37.20
04033,39.25
04034,34.62
04035,38.11
04036,41.07
04037,28.93
04038,42.08
05001,31.91
05002,30.76
05003,41.21
05004,42.53
05006,37.73
05007,45.25
05008,26.39
05009,52.04
05010,28.97
05011,53.52
05012,32.18
05013,32.47
05014,52.18
05015,42.01
05016,30.78
05017,33.53
05018,46.72
05019,50.50
05020,49.75
05021,45.60
05022,56.33
05023,46.05
05024,44.43
05025,44.30
05026,38.75
05027,32.76
05028,44.09
05029,41.14
05030,30.65
05031,31.06
05032,55.13
05033,41.73
05034,50.44
05035,50.41
05036,32.26
05037,52.52
05038,34.91
05039,45.17
05040,41.46
05041,68.88
06001,47.79
06002,43.47
06003,47.01
06004,30.67
06005,22.50
06006,45.11
06007,32.52
06008,44.75
06009,27.48
06010,22.73
06011,32.83
06012,20.39
06013,40.74
06014,34.56
06015,21.85
06016,45.65
06017,23.98
06018,24.60
06019,35.18
06020,22.96
06021,19.75
06022,25.61
06023,23.13
06024,26.14
06026,22.42
06027,24.10
06028,22.71
06029,49.78
06030,26.97
06031,44.59
06032,36.42
06033,41.42
06034,38.93
06035,39.71
06036,49.85
06037,50.31
06038,44.64
06039,31.82
06040,37.99
06041,40.67
06042,33.33
06043,32.08
06044,31.86
06045,41.12
06046,33.21
06047,30.00
06048,36.10
07001,30.24
07002,24.65
07003,42.26
07004,37.89
07005,27.93
07006,41.49
07007,25.25
07009,38.39
07010,39.72
07011,26.60
07012,27.90
07013,34.99
07014,26.67
07015,36.50
07016,19.28
07017,27.67
07018,23.74
07019,35.26
07020,22.38
07021,24.37
07022,25.74
07023,42.52
07024,29.32
07025,21.98
07026,34.47
07027,32.02
07028,26.41
07029,29.69
07030,23.84
07031,24.83
07032,47.91
07033,48.61
07034,39.77
07035,29.14
07036,39.21
07037,41.78
07038,27.79
07039,36.49
07040,36.64
