wp_code,LORI LIGHTFOOT,TONI PRECKWINKLE
01001,172,85
01002,131,72
01003,200,64
01004,202,70
01005,173,66
01006,169,61
01007,142,52
01008,176,79
01009,163,80
01010,192,51
01011,187,76
01012,234,95
01013,78,39
01014,195,56
01015,161,60
01016,192,91
01017,148,112
01018,157,107
01019,192,95
01020,121,67
01021,203,79
01022,118,45
01023,233,126
01024,137,75
01025,141,73
01026,109,60
01027,195,46
01028,67,25
01029,252,70
01030,150,95
01031,188,68
01032,195,70
01033,226,64
01034,143,67
01035,261,72
01036,209,58
01037,197,67
01038,183,55
01039,157,54
01040,213,57
01041,121,54
01042,62,25
01043,138,33
01044,145,63
02001,172,73
02002,193,44
02003,206,60
02004,145,48
02005,210,73
02006,145,47
02007,185,42
02008,184,59
02009,193,19
02010,242,60
02011,298,50
02012,249,56
02014,263,80
02015,205,64
02016,169,51
02017,274,96
02018,201,61
02019,237,49
02020,179,32
02021,219,73
02022,282,49
02023,236,38
02024,220,37
02025,214,60
02026,200,33
02027,217,33
02028,206,50
02029,205,27
02030,189,33
02031,341,65
02032,140,29
02033,402,78
02034,261,42
02035,224,28
02036,232,55
02037,234,57
02038,248,45
02039,130,62
02040,230,49
02041,180,33
02042,182,54
02043,273,63
02044,171,26
02045,232,77
02046,114,25
03001,270,127
03002,257,190
03003,203,111
03004,243,131
03005,109,63
03006,307,64
03007,184,75
03008,155,78
03009,202,122
03010,87,41
03011,194,103
03012,236,130
03013,301,81
03014,219,84
03015,179,90
03016,175,88
03017,235,97
03018,298,101
03019,276,69
03020,191,125
03021,238,110
03022,274,60
03023,155,75
03024,168,102
03025,397,95
03026,317,107
03027,289,68
03028,173,84
03029,213,98
03030,182,103
03031,243,136
03032,231,101
03033,236,66
03034,276,72
03035,89,52
03036,99,51
03037,150,99
03038,191,128
03039,315,78
03040,188,64
03041,105,70
04001,186,237
04002,294,79
04003,129,133
04004,284,183
04005,218,171
04006,283,152
04007,293,182
04008,214,187
04009,235,242
04010,244,171
04011,198,120
04012,226,140
04013,188,48
04014,212,153
04015,232,175
04016,304,100
04017,290,93
04018,227,167
04019,158,63
04020,231,78
04021,234,78
04022,191,183
04023,179,289
04024,157,166
04025,296,89
04026,189,141
04027,203,204
04028,185,123
04029,182,127
04030,234,151
04031,199,249
04032,205,150
04033,197,146
04034,158,119
04035,220,184
04036,227,170
04037,319,125
04038,213,131
05001,165,94
05002,150,64
05003,133,213
05004,217,193
05006,170,99
05007,165,177
05008,103,91
05009,175,256
05010,169,70
05011,189,213
05012,140,73
05013,168,93
05014,171,140
05015,137,160
05016,188,87
05017,159,121
05018,160,157
05019,163,189
05020,176,228
05021,167,170
05022,222,205
05023,272,293
05024,176,198
05025,203,125
05026,208,125
05027,151,170
05028,228,154
05029,212,146
05030,147,69
05031,159,74
05032,233,208
05033,217,138
05034,205,195
05035,242,186
05036,133,76
05037,215,211
05038,189,106
05039,127,144
05040,144,121
05041,122,117
06001,188,134
06002,208,92
06003,236,91
06004,149,51
06005,111,48
06006,206,112
06007,169,70
06008,189,120
06009,159,67
06010,104,44
06011,162,74
06012,100,46
06013,153,76
06014,183,78
06015,131,63
06016,205,114
06017,119,50
06018,110,57
06019,178,73
06020,113,35
06021,90,34
06022,118,37
06023,100,35
06024,91,51
06026,102,58
06027,110,43
06028,78,51
06029,214,118
06030,136,69
06031,178,120
06032,178,77
06033,201,82
06034,179,89
06035,151,93
06036,202,139
06037,204,121
06038,195,116
06039,141,80
06040,175,87
06041,194,84
06042,170,94
06043,166,63
06044,170,81
06045,179,119
06046,124,58
06047,138,42
06048,179,95
07001,150,68
07002,144,64
07003,192,88
07004,184,67
07005,121,65
07006,215,124
07007,127,72
07009,263,153
07010,218,68
07011,150,70
07012,160,66
07013,114,55
07014,160,79
07015,153,82
07016,106,45
07017,126,57
07018,112,63
07019,158,74
07020,118,40
07021,113,41
07022,127,62
07023,153,101
07024,125,68
07025,118,45
07026,129,62
07027,141,62
07028,107,62
07029,137,55
07030,107,52
07031,97,46
07032,225,137
07033,233,132
07034,194,123
07035,165,61
07036,191,105
07037,179,96
07038,131,63
07039,164,68
07040,155,70
07041,159,62
07042,138,62
07043,153,64
07044,124,56
07045,135,42
07046,88,36
08001,168,84
08002,149,77
08003,222,120
08004,218,113
08005,191,134
08006,154,101
08007,219,111
08008,210,86
08009,129,56
08010,222,144
08012,152,75
08013,193,106
08014,112,52
08015,161,65
08016,51,22
08017,147,82
08018,119,59
08019,189,114
08020,202,126
08021,204,113
08022,167,78
08023,139,66
08024,117,53
08025,171,72
08026,140,79
08027,203,110
08028,162,104
08029,222,73
08030,185,93
08031,132,67
08032,143,62
08033,188,66
08034,180,81
08035,200,92
08036,180,120
08037,142,93
08038,104,56
08039,197,84
08040,140,67
08041,192,96
08042,200,130
08043,113,34
08044,104,71
08045,132,73
08046,112,71
08047,143,51
08048,154,70
08049,182,80
08050,190,93
08051,215,103
08052,226,123
08053,97,42
08054,124,64
08055,172,73
08056,182,97
09001,176,63
09002,147,52
09003,107,19
09004,147,43
09005,184,76
09006,157,73
09007,125,59
09008,152,55
09009,180,107
09010,137,35
09011,129,43
09012,186,111
09013,224,84
09014,229,88
09015,130,47
09016,162,53
09017,128,38
09018,132,49
09019,160,59
09020,190,59
09021,144,64
09022,163,102
09023,199,114
09024,185,91
09025,184,75
09026,126,58
09027,145,55
09028,71,30
09029,127,83
09030,117,46
09031,126,51
09032,176,76
09033,111,52
09034,126,54
09035,153,89
09036,130,59
09037,247,113
09038,150,73
09039,175,75
09040,193,98
09041,132,50
09042,186,91
09043,141,48
09044,134,69
09045,115,70
09046,173,72
09047,194,111
09048,205,85
09049,191,89
09050,258,112
09051,180,78
10001,149,57
10002,199,33
10003,203,35
10004,111,31
10005,157,21
10006,115,22
10007,103,16
10008,57,20
10009,189,19
10010,186,36
10011,151,36
10012,93,23
10013,135,32
10014,187,38
10015,306,148
10016,124,34
10017,249,38
10018,67,37
10019,196,27
10020,198,39
10021,167,16
10022,81,20
10023,113,27
10024,176,26
10025,49,17
10026,85,26
10027,118,44
10028,149,41
10029,134,10
10030,121,27
10031,103,22
10032,143,28
10033,94,26
10035,212,32
10036,36,18
11001,192,69
11002,7,7
11003,127,87
11004,142,56
11005,187,108
11006,270,92
11007,147,58
11008,178,45
11009,149,52
11010,144,70
11011,195,53
11012,355,50
11013,250,75
11014,105,66
11015,103,14
11016,126,48
11017,230,77
11018,157,56
11019,211,88
11020,132,47
11021,291,92
11022,216,68
11023,128,34
11024,267,86
11025,265,73
11026,237,89
11027,53,22
11028,89,25
11029,251,67
11030,78,27
11031,233,46
11032,103,39
11033,210,55
11034,76,47
11035,58,26
11036,57,37
11037,56,30
11038,82,34
12001,160,52
12002,119,30
12003,194,91
12004,147,61
12005,155,38
12006,142,33
12007,76,56
12008,169,56
12009,123,35
12010,112,56
12011,128,30
12012,131,28
12013,144,40
12014,88,42
12015,90,17
12016,72,26
12017,123,44
12018,105,40
12019,139,47
12020,112,36
12021,135,49
12022,87,41
12023,159,51
13001,155,37
13002,164,27
13003,80,18
13004,168,31
13005,151,25
13006,190,24
13007,88,18
13008,127,24
13009,130,34
13010,185,21
13011,184,20
13012,106,46
13013,172,25
13014,120,23
13015,147,47
13016,72,18
13017,137,24
13018,133,24
13019,100,24
13020,133,13
13021,231,26
13022,190,22
13023,95,20
13024,135,18
13025,137,19
13026,136,19
13027,158,33
13028,103,17
13029,105,28
13030,77,22
13031,209,22
13032,163,26
13033,174,24
13034,128,32
13035,130,23
13036,82,10
13037,171,52
13038,173,19
13039,130,28
13040,140,20
13041,137,32
13042,180,12
13043,146,28
13044,111,29
13045,186,32
13046,138,33
13047,107,24
13048,147,19
14001,302,27
14002,184,38
14003,104,30
14004,204,21
14005,133,43
14006,51,12
14007,148,36
14008,139,37
14009,267,39
14010,80,17
