WARNING *** file size (719348) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
"City of Chicago, Illinois",,,,,,,,,District Canvass,,,
RunOff & Suppl Aldermanic,,,,,,,,,"April 2, 2019",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"1     Mayor
2     Treasurer",,,,,,,,,,
,,,,,,,1,1,,,2,2
ward_precinct,,Registered,Ballots Cast,Turnout (%),,,LORI LIGHTFOOT,TONI PRECKWINKLE,,,MELISSA CONYEARS-ERVIN,AMEYA PAWAR
Ward 01 Precinct 01,Total,979,255,26.05,,,170,85,,,78,150
Ward 01 Precinct 02,Total,887,203,22.89,,,131,72,,,73,122
Ward 01 Precinct 03,Total,946,264,27.91,,,199,64,,,80,163
Ward 01 Precinct 04,Total,992,270,27.22,,,200,70,,,81,171
Ward 01 Precinct 05,Total,925,238,25.73,,,172,66,,,75,139
Ward 01 Precinct 06,Total,899,230,25.58,,,169,61,,,96,115
Ward 01 Precinct 09,Total,699,244,34.91,,,163,79,,,102,107
Ward 01 Precinct 10,Total,1116,240,21.51,,,189,51,,,82,129
Ward 01 Precinct 11,Total,956,262,27.41,,,187,75,,,71,166
Ward 01 Precinct 12,Total,1063,330,31.04,,,234,95,,,124,176
Ward 01 Precinct 13,Total,430,116,26.98,,,77,39,,,44,70
Ward 01 Precinct 15,Total,824,221,26.82,,,161,60,,,67,136
Ward 01 Precinct 16,Total,1006,283,28.13,,,192,90,,,89,177
Ward 01 Precinct 17,Total,804,260,32.34,,,148,112,,,85,163
Ward 01 Precinct 18,Total,930,263,28.28,,,157,106,,,88,162
Ward 01 Precinct 19,Total,975,288,29.54,,,192,95,,,111,165
Ward 01 Precinct 21,Total,1146,281,24.52,,,202,79,,,95,153
Ward 01 Precinct 26,Total,765,169,22.09,,,109,60,,,71,87
Ward 01 Precinct 27,Total,959,240,25.03,,,193,46,,,80,144
Ward 01 Precinct 28,Total,344,94,27.33,,,67,25,,,63,18
Ward 01 Precinct 29,Total,997,323,32.40,,,252,70,,,109,194
Ward 01 Precinct 31,Total,903,257,28.46,,,188,68,,,115,128
Ward 01 Precinct 32,Total,840,264,31.43,,,195,69,,,86,156
Ward 01 Precinct 33,Total,1012,291,28.75,,,226,64,,,104,176
Ward 01 Precinct 34,Total,694,210,30.26,,,143,67,,,54,143
Ward 01 Precinct 35,Total,1108,334,30.14,,,261,72,,,120,187
Ward 01 Precinct 38,Total,860,238,27.67,,,183,55,,,96,117
Ward 01 Precinct 39,Total,817,211,25.83,,,157,53,,,74,128
Ward 01 Precinct 40,Total,885,269,30.40,,,212,57,,,111,129
,,,,,,,,,,,,
Ward 01,Total,25761,7148,27.75,,,5129,2005,,,2524,4071
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 02 Precinct 01,Total,1023,242,23.66,,,170,72,,,89,137
Ward 02 Precinct 02,Total,624,237,37.98,,,193,44,,,87,128
Ward 02 Precinct 03,Total,993,267,26.89,,,206,60,,,69,171
Ward 02 Precinct 04,Total,809,193,23.86,,,145,48,,,61,113
Ward 02 Precinct 06,Total,873,192,21.99,,,145,47,,,54,122
Ward 02 Precinct 07,Total,1509,228,15.11,,,184,42,,,93,121
Ward 02 Precinct 08,Total,1121,241,21.50,,,183,58,,,88,138
Ward 02 Precinct 10,Total,667,304,45.58,,,241,60,,,128,147
Ward 02 Precinct 11,Total,870,345,39.66,,,296,49,,,132,191
Ward 02 Precinct 15,Total,902,269,29.82,,,203,64,,,99,143
Ward 02 Precinct 16,Total,884,218,24.66,,,167,51,,,82,119
Ward 02 Precinct 17,Total,992,371,37.40,,,274,95,,,142,212
Ward 02 Precinct 18,Total,800,265,33.13,,,200,60,,,111,130
Ward 02 Precinct 19,Total,601,286,47.59,,,237,49,,,102,155
Ward 02 Precinct 21,Total,926,291,31.43,,,217,73,,,92,179
Ward 02 Precinct 23,Total,544,274,50.37,,,236,38,,,97,147
Ward 02 Precinct 24,Total,783,257,32.82,,,220,37,,,107,124
Ward 02 Precinct 25,Total,937,272,29.03,,,212,60,,,98,152
Ward 02 Precinct 26,Total,847,233,27.51,,,200,33,,,93,110
Ward 02 Precinct 27,Total,781,252,32.27,,,216,33,,,104,115
Ward 02 Precinct 29,Total,962,231,24.01,,,203,27,,,95,110
Ward 02 Precinct 31,Total,963,406,42.16,,,341,65,,,155,226
Ward 02 Precinct 32,Total,701,169,24.11,,,140,29,,,69,84
Ward 02 Precinct 35,Total,1142,251,21.98,,,223,28,,,95,127
Ward 02 Precinct 36,Total,913,287,31.43,,,232,55,,,116,138
Ward 02 Precinct 38,Total,742,293,39.49,,,248,45,,,104,145
Ward 02 Precinct 39,Total,677,192,28.36,,,130,62,,,98,79
Ward 02 Precinct 41,Total,1016,211,20.77,,,178,33,,,91,98
Ward 02 Precinct 45,Total,1034,308,29.79,,,231,76,,,150,129
Ward 02 Precinct 46,Total,518,137,26.45,,,113,24,,,47,79
,,,,,,,,,,,,
Ward 02,Total,26154,7722,29.53,,,6184,1517,,,2948,4069
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 03 Precinct 02,Total,840,450,53.57,,,258,191,,,367,64
Ward 03 Precinct 04,Total,874,375,42.91,,,242,131,,,303,63
Ward 03 Precinct 05,Total,696,171,24.57,,,108,63,,,137,31
Ward 03 Precinct 08,Total,851,234,27.50,,,155,79,,,195,29
Ward 03 Precinct 09,Total,893,333,37.29,,,205,124,,,258,59
Ward 03 Precinct 10,Total,561,128,22.82,,,87,41,,,100,19
Ward 03 Precinct 11,Total,855,297,34.74,,,193,102,,,233,54
Ward 03 Precinct 12,Total,732,368,50.27,,,237,131,,,298,62
Ward 03 Precinct 13,Total,889,387,43.53,,,304,83,,,158,213
Ward 03 Precinct 14,Total,929,312,33.58,,,225,87,,,154,142
Ward 03 Precinct 15,Total,871,271,31.11,,,179,90,,,216,38
Ward 03 Precinct 16,Total,833,263,31.57,,,176,87,,,222,36
Ward 03 Precinct 17,Total,1196,330,27.59,,,234,96,,,191,123
Ward 03 Precinct 19,Total,923,351,38.03,,,279,72,,,175,153
Ward 03 Precinct 22,Total,1178,336,28.52,,,274,61,,,150,167
Ward 03 Precinct 24,Total,813,287,35.30,,,178,107,,,220,50
Ward 03 Precinct 25,Total,1422,505,35.51,,,408,96,,,224,251
Ward 03 Precinct 26,Total,847,433,51.12,,,321,111,,,203,213
Ward 03 Precinct 27,Total,1117,356,31.87,,,292,64,,,160,167
Ward 03 Precinct 28,Total,621,259,41.71,,,173,84,,,209,41
Ward 03 Precinct 29,Total,1113,311,27.94,,,213,98,,,249,52
Ward 03 Precinct 30,Total,777,286,36.81,,,181,103,,,233,43
Ward 03 Precinct 32,Total,992,338,34.07,,,236,102,,,175,142
Ward 03 Precinct 33,Total,1026,307,29.92,,,237,69,,,135,153
Ward 03 Precinct 34,Total,1079,357,33.09,,,282,73,,,180,152
Ward 03 Precinct 35,Total,961,142,14.78,,,89,53,,,98,37
Ward 03 Precinct 37,Total,844,251,29.74,,,153,98,,,206,40
Ward 03 Precinct 39,Total,1402,403,28.74,,,321,78,,,158,222
Ward 03 Precinct 41,Total,824,197,23.91,,,118,77,,,143,46
,,,,,,,,,,,,
Ward 03,Total,26959,9038,33.52,,,6358,2651,,,5750,2862
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 04 Precinct 01,Total,1140,421,36.93,,,185,236,,,189,203
Ward 04 Precinct 03,Total,781,263,33.67,,,129,133,,,213,38
Ward 04 Precinct 04,Total,1128,469,41.58,,,284,183,,,372,77
Ward 04 Precinct 05,Total,782,391,50.00,,,218,171,,,288,86
Ward 04 Precinct 06,Total,945,435,46.03,,,283,152,,,335,78
Ward 04 Precinct 07,Total,998,474,47.49,,,292,182,,,364,94
Ward 04 Precinct 08,Total,890,399,44.83,,,213,186,,,310,78
Ward 04 Precinct 10,Total,958,416,43.42,,,244,171,,,297,106
Ward 04 Precinct 12,Total,1012,365,36.07,,,225,140,,,301,54
Ward 04 Precinct 14,Total,860,364,42.33,,,212,152,,,283,68
Ward 04 Precinct 15,Total,992,409,41.23,,,232,174,,,313,78
Ward 04 Precinct 16,Total,1460,402,27.53,,,303,99,,,150,224
Ward 04 Precinct 17,Total,1000,382,38.20,,,289,93,,,134,219
Ward 04 Precinct 19,Total,897,222,24.75,,,158,63,,,174,40
Ward 04 Precinct 20,Total,741,309,41.70,,,230,78,,,140,151
Ward 04 Precinct 24,Total,798,320,40.10,,,156,163,,,202,102
Ward 04 Precinct 25,Total,892,384,43.05,,,295,89,,,145,215
Ward 04 Precinct 27,Total,1068,407,38.11,,,201,204,,,207,172
Ward 04 Precinct 28,Total,724,308,42.54,,,184,122,,,242,58
Ward 04 Precinct 29,Total,861,309,35.89,,,182,127,,,235,64
Ward 04 Precinct 30,Total,1275,385,30.20,,,234,151,,,308,66
Ward 04 Precinct 31,Total,706,449,63.60,,,199,249,,,340,96
Ward 04 Precinct 32,Total,957,355,37.10,,,204,150,,,276,67
Ward 04 Precinct 33,Total,879,345,39.25,,,197,146,,,233,97
Ward 04 Precinct 34,Total,803,276,34.37,,,156,119,,,203,63
Ward 04 Precinct 36,Total,969,396,40.87,,,227,168,,,290,97
Ward 04 Precinct 37,Total,1535,441,28.73,,,318,123,,,198,216
,,,,,,,,,,,,
Ward 04,Total,26051,10096,38.75,,,6050,4024,,,6742,2907
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 05 Precinct 01,Total,818,258,31.54,,,164,93,,,212,36
Ward 05 Precinct 06,Total,713,269,37.73,,,170,99,,,214,42
Ward 05 Precinct 09,Total,834,433,51.92,,,175,255,,,257,155
Ward 05 Precinct 10,Total,825,239,28.97,,,169,70,,,195,37
Ward 05 Precinct 12,Total,665,214,32.18,,,140,73,,,178,26
Ward 05 Precinct 13,Total,810,262,32.35,,,168,92,,,209,46
Ward 05 Precinct 14,Total,596,311,52.18,,,171,140,,,242,60
Ward 05 Precinct 16,Total,900,277,30.78,,,188,87,,,219,48
Ward 05 Precinct 18,Total,685,320,46.72,,,160,157,,,163,143
Ward 05 Precinct 19,Total,699,353,50.50,,,163,189,,,133,200
Ward 05 Precinct 20,Total,812,403,49.63,,,176,227,,,245,139
Ward 05 Precinct 21,Total,739,336,45.47,,,167,169,,,152,165
